101053.743 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/oaGuiDefinitions/Assets/visibility/visible: {'visible': True, 'ts': 1774274835.1185808, 'tab_name': 'START_PAUSE_STOP'}
101053.744 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] MQTT on OPEN-AIR/oaGuiDefinitions/Assets/visibility/geometry: {'width': 1920, 'height': 1131, 'x': 1920, 'y': 69, 'ts': 1774274836.1126218, 'tab_name': 'START_PAU...
101053.744 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/oaGuiDefinitions/Assets/visibility/geometry: {'width': 1920, 'height': 1131, 'x': 1920, 'y': 69, 'ts': 1774274836.1126218, 'tab_name': 'START_PAU...
101053.745 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] MQTT on OPEN-AIR/oaGuiDefinitions/Assets/scan/visibility/visible: {'visible': False, 'ts': 1774274946.784098, 'tab_name': 'SCAN'}
101053.745 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/oaGuiDefinitions/Assets/scan/visibility/visible: {'visible': False, 'ts': 1774274946.784098, 'tab_name': 'SCAN'}
101053.746 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] MQTT on OPEN-AIR/oaGuiDefinitions/Assets/scan/visibility/geometry: {'width': 1920, 'height': 1131, 'x': 1920, 'y': 69, 'ts': 1774274836.113475, 'tab_name': 'SCAN'}
101053.746 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/oaGuiDefinitions/Assets/scan/visibility/geometry: {'width': 1920, 'height': 1131, 'x': 1920, 'y': 69, 'ts': 1774274836.113475, 'tab_name': 'SCAN'}
101053.747 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] MQTT on OPEN-AIR/oaGuiDefinitions/Assets/Spectrum/Instrument/frequency/visibility/visible: {'visible': False, 'ts': 1774274953.6994195, 'tab_name': 'FREQUENCY'}
101053.748 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] MQTT on OPEN-AIR/oaGuiDefinitions/Assets/Spectrum/Instrument/frequency/visibility/geometry: {'width': 1920, 'height': 1131, 'x': 1920, 'y': 69, 'ts': 1774274836.5507143, 'tab_name': 'FREQUENCY...
101053.748 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/oaGuiDefinitions/Assets/Spectrum/Instrument/frequency/visibility/visible: {'visible': False, 'ts': 1774274953.6994195, 'tab_name': 'FREQUENCY'}
101053.748 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] MQTT on OPEN-AIR/oaGuiDefinitions/Assets/Spectrum/Instrument/amplitude/visibility/visible: {'visible': False, 'ts': 1774274955.6194618, 'tab_name': 'AMPLITUDE'}
101053.748 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/oaGuiDefinitions/Assets/Spectrum/Instrument/frequency/visibility/geometry: {'width': 1920, 'height': 1131, 'x': 1920, 'y': 69, 'ts': 1774274836.5507143, 'tab_name': 'FREQUENCY...
101053.749 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] MQTT on OPEN-AIR/oaGuiDefinitions/Assets/Spectrum/Instrument/amplitude/visibility/geometry: {'width': 1920, 'height': 1131, 'x': 1920, 'y': 69, 'ts': 1774274955.441951, 'tab_name': 'AMPLITUDE'...
101053.751 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/oaGuiDefinitions/Assets/Spectrum/Instrument/amplitude/visibility/visible: {'visible': False, 'ts': 1774274955.6194618, 'tab_name': 'AMPLITUDE'}
101053.751 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] MQTT on OPEN-AIR/oaGuiDefinitions/Assets/Spectrum/Instrument/bandwidth/visibility/geometry: {'width': 1920, 'height': 1131, 'x': 1920, 'y': 69, 'ts': 1774274955.1788852, 'tab_name': 'BANDWIDTH...
101053.752 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/oaGuiDefinitions/Assets/Spectrum/Instrument/amplitude/visibility/geometry: {'width': 1920, 'height': 1131, 'x': 1920, 'y': 69, 'ts': 1774274955.441951, 'tab_name': 'AMPLITUDE'...
101053.753 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] MQTT on OPEN-AIR/oaGuiDefinitions/Assets/Spectrum/Instrument/markers/visibility/visible: {'visible': True, 'ts': 1774274956.5246246, 'tab_name': 'MARKERS'}
101053.753 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/oaGuiDefinitions/Assets/Spectrum/Instrument/bandwidth/visibility/geometry: {'width': 1920, 'height': 1131, 'x': 1920, 'y': 69, 'ts': 1774274955.1788852, 'tab_name': 'BANDWIDTH...
101053.754 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/oaGuiDefinitions/Assets/Spectrum/Instrument/markers/visibility/visible: {'visible': True, 'ts': 1774274956.5246246, 'tab_name': 'MARKERS'}
101053.754 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] MQTT on OPEN-AIR/oaGuiDefinitions/Assets/Spectrum/Instrument/markers/visibility/geometry: {'width': 1920, 'height': 1131, 'x': 1920, 'y': 69, 'ts': 1774274957.024969, 'tab_name': 'MARKERS'}
101053.754 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/oaGuiDefinitions/Assets/Spectrum/Instrument/markers/visibility/geometry: {'width': 1920, 'height': 1131, 'x': 1920, 'y': 69, 'ts': 1774274957.024969, 'tab_name': 'MARKERS'}
101053.755 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] MQTT on OPEN-AIR/oaGuiDefinitions/Assets/monitors/Graphs/visibility/visible: {'visible': False, 'ts': 1774274948.5185328, 'tab_name': '3_BOTTOM'}
101053.755 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/oaGuiDefinitions/Assets/monitors/Graphs/visibility/visible: {'visible': False, 'ts': 1774274948.5185328, 'tab_name': '3_BOTTOM'}
101053.756 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] MQTT on OPEN-AIR/oaGuiDefinitions/Assets/monitors/Graphs/visibility/geometry: {'width': 1920, 'height': 1131, 'x': 1920, 'y': 69, 'ts': 1774274949.0156257, 'tab_name': '3_BOTTOM'...
101053.756 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/oaGuiDefinitions/Assets/monitors/Graphs/visibility/geometry: {'width': 1920, 'height': 1131, 'x': 1920, 'y': 69, 'ts': 1774274949.0156257, 'tab_name': '3_BOTTOM'...
101053.757 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] MQTT on OPEN-AIR/GENERIC_GUI_TOPIC/visibility/visible: {'visible': True, 'ts': 1774274949.5384207, 'tab_name': None}
101053.757 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/GENERIC_GUI_TOPIC/visibility/visible: {'visible': True, 'ts': 1774274949.5384207, 'tab_name': None}
101053.757 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] MQTT on OPEN-AIR/GENERIC_GUI_TOPIC/visibility/geometry: {'width': 1920, 'height': 1131, 'x': 1920, 'y': 69, 'ts': 1774274950.038587, 'tab_name': None}
101053.758 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/GENERIC_GUI_TOPIC/visibility/geometry: {'width': 1920, 'height': 1131, 'x': 1920, 'y': 69, 'ts': 1774274950.038587, 'tab_name': None}
101053.781 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.settle | ⏳⏳🔄 [ROUTER] Settling: Firing final LINK_FEEDBACK for OPEN-AIR/System/Status/MIDI/ActiveInputs
101053.782 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.settle | ⏳⏳🔄 [ROUTER] Settling: Firing final LINK_FEEDBACK for OPEN-AIR/System/Status/MIDI/ActiveOutputs
101053.783 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] SYSTEM on OPEN-AIR/System/Status/MIDI/ActiveOutputs: ['Midi Through:Midi Through Port-0 14:0', 'Mbox 2:Mbox 2 MIDI 1 28:0', 'Arturia MicroLab:Arturia Mic...
101053.784 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] SYSTEM on OPEN-AIR/System/Status/MIDI/ActiveInputs: ['Arturia MicroLab:Arturia MicroLab  32:0', 'Mbox 2:Mbox 2 MIDI 1 28:0', 'Midi Through:Midi Through ...
101053.785 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] MQTT on OPEN-AIR/oaGuiDefinitions/Assets/visibility/visible: {'visible': True, 'ts': 1774274835.1185808, 'tab_name': 'START_PAUSE_STOP'}
101053.785 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] 🎹 🚀 💾 Ⓖ >> OPEN-AIR/System/Status/MIDI/ActiveOutputs: ['Midi Through:Midi Through Port-0 14:0', 'Mbox 2:Mbox 2 MIDI 1 28:0', 'Arturia MicroLab:Arturia Mic...
101053.786 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/oaGuiDefinitions/Assets/visibility/visible: {'visible': True, 'ts': 1774274835.1185808, 'tab_name': 'START_PAUSE_STOP'}
101053.786 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.dispatch | 📡📤📤 [OUTBOUND] MQTT >> OPEN-AIR/System/Status/MIDI/ActiveOutputs: ['Midi Through:Midi Through Port-0 14:0', 'Mbox 2:Mbox 2 MIDI 1 28:0', 'Arturia MicroLab:Arturia Mic...
101053.786 | DEBUG    | ⚙️ CORE   | 🕸️ ROUTER          | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] 🎹 🚀 💾 Ⓖ >> OPEN-AIR/System/Status/MIDI/ActiveInputs: ['Arturia MicroLab:Arturia MicroLab  32:0', 'Mbox 2:Mbox 2 MIDI 1 28:0', 'Midi Through:Midi Through ...
